"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2011-06-16 01:49:57,FALSE,FALSE,0,FALSE,2011-06-16 01:49:57,0
2011-06-16 09:08:23,TRUE,FALSE,0,FALSE,2011-06-16 09:08:23,0
2011-06-17 01:43:35,FALSE,FALSE,0,FALSE,2011-06-17 01:43:35,0
2011-06-17 09:08:23,TRUE,FALSE,0,FALSE,2011-06-17 09:08:23,0
2011-06-18 01:41:47,FALSE,FALSE,0,FALSE,2011-06-18 01:41:47,0
2011-06-18 09:04:23,TRUE,FALSE,0,FALSE,2011-06-18 09:04:23,0
2011-06-19 01:37:34,FALSE,FALSE,0,FALSE,2011-06-19 01:37:34,0
2011-06-19 09:08:22,TRUE,FALSE,0,FALSE,2011-06-19 09:08:22,0
2011-06-20 01:39:34,FALSE,FALSE,0,FALSE,2011-06-20 01:39:34,0
2011-06-20 09:08:22,TRUE,FALSE,0,FALSE,2011-06-20 09:08:22,0
2011-06-21 01:03:41,FALSE,TRUE,0,FALSE,2011-06-21 02:29:55,0
2011-06-21 09:40:21,TRUE,TRUE,0,FALSE,2011-06-21 09:40:21,0
2011-06-22 01:03:33,FALSE,TRUE,0,FALSE,2011-06-22 01:03:33,0
2011-06-22 10:08:21,TRUE,TRUE,0,FALSE,2011-06-22 10:08:21,0
2011-06-23 01:08:49,FALSE,TRUE,0,FALSE,2011-06-23 02:37:56,0
2011-06-23 09:28:21,TRUE,FALSE,0,FALSE,2011-06-23 09:28:21,0
2011-06-24 01:37:32,FALSE,FALSE,0,FALSE,2011-06-24 01:37:32,0
2011-06-24 09:20:20,TRUE,FALSE,0,FALSE,2011-06-24 09:20:20,0
2011-06-25 01:31:44,FALSE,FALSE,0,FALSE,2011-06-25 01:31:44,0
2011-06-25 09:24:20,TRUE,FALSE,0,FALSE,2011-06-25 09:24:20,0
2011-06-26 01:41:48,FALSE,FALSE,0,FALSE,2011-06-26 01:41:48,0
2011-06-26 09:16:20,TRUE,FALSE,0,FALSE,2011-06-26 09:16:20,0
2011-06-27 01:41:31,FALSE,FALSE,0,FALSE,2011-06-27 01:41:31,0
2011-06-27 09:12:07,TRUE,FALSE,0,FALSE,2011-06-27 09:12:07,0
2011-06-28 01:33:43,FALSE,FALSE,0,FALSE,2011-06-28 01:33:43,0
2011-06-28 09:16:19,TRUE,FALSE,0,FALSE,2011-06-28 09:16:19,0
2011-06-29 01:39:31,FALSE,FALSE,0,FALSE,2011-06-29 01:39:31,0
2011-06-29 09:16:18,TRUE,FALSE,0,FALSE,2011-06-29 09:16:18,0
2011-06-30 01:41:30,FALSE,FALSE,0,FALSE,2011-06-30 01:41:30,0
2011-06-30 09:12:02,TRUE,FALSE,0,FALSE,2011-06-30 09:12:02,0
2011-07-01 01:41:30,FALSE,FALSE,0,FALSE,2011-07-01 01:41:30,0
2011-07-01 09:14:06,TRUE,FALSE,0,FALSE,2011-07-01 09:14:06,0
2011-07-02 01:39:41,FALSE,FALSE,0,FALSE,2011-07-02 01:39:41,0
2011-07-02 09:18:17,TRUE,FALSE,0,FALSE,2011-07-02 09:18:17,0
2011-07-03 01:19:37,FALSE,FALSE,0,FALSE,2011-07-03 02:05:41,0
2011-07-03 09:16:17,TRUE,FALSE,0,FALSE,2011-07-03 09:16:17,0
2011-07-04 01:39:29,FALSE,FALSE,0,FALSE,2011-07-04 01:39:29,0
2011-07-04 09:12:17,TRUE,FALSE,0,FALSE,2011-07-04 09:12:17,0
2011-07-05 01:43:28,FALSE,FALSE,0,FALSE,2011-07-05 01:43:28,0
2011-07-05 09:12:04,TRUE,FALSE,0,FALSE,2011-07-05 09:12:04,0
2011-07-06 01:39:28,FALSE,FALSE,0,FALSE,2011-07-06 01:39:28,0
2011-07-06 09:18:04,TRUE,FALSE,0,FALSE,2011-07-06 09:18:04,0
2011-07-07 01:39:28,FALSE,FALSE,0,FALSE,2011-07-07 01:39:28,0
2011-07-07 09:12:15,TRUE,FALSE,0,FALSE,2011-07-07 09:12:15,0
2011-07-08 01:35:27,FALSE,FALSE,0,FALSE,2011-07-08 01:35:27,0
2011-07-08 09:08:15,TRUE,FALSE,0,FALSE,2011-07-08 09:08:15,0
2011-07-09 01:41:27,FALSE,FALSE,0,FALSE,2011-07-09 01:41:27,0
2011-07-09 09:16:03,TRUE,FALSE,0,FALSE,2011-07-09 09:16:03,0
2011-07-10 01:37:38,FALSE,FALSE,0,FALSE,2011-07-10 01:37:38,0
2011-07-10 09:20:02,TRUE,FALSE,0,FALSE,2011-07-10 09:20:02,0
2011-07-11 01:37:26,FALSE,FALSE,0,FALSE,2011-07-11 01:37:26,0
2011-07-11 09:18:14,TRUE,FALSE,0,FALSE,2011-07-11 09:18:14,0
2011-07-12 01:35:38,FALSE,FALSE,0,FALSE,2011-07-12 01:35:38,0
2011-07-12 09:12:01,TRUE,FALSE,0,FALSE,2011-07-12 09:12:01,0
2011-07-13 01:33:25,FALSE,FALSE,0,FALSE,2011-07-13 01:33:25,0
2011-07-13 09:18:01,TRUE,FALSE,0,FALSE,2011-07-13 09:18:01,0
2011-07-14 01:07:37,FALSE,FALSE,0,FALSE,2011-07-14 01:07:37,0
2011-07-14 09:28:13,TRUE,FALSE,0,FALSE,2011-07-14 09:28:13,0
2011-07-15 01:13:24,FALSE,FALSE,0,FALSE,2011-07-15 01:13:24,0
2011-07-15 09:30:12,TRUE,FALSE,0,FALSE,2011-07-15 09:30:12,0
2011-07-16 01:11:24,FALSE,FALSE,0,FALSE,2011-07-16 01:11:24,0
2011-07-16 09:28:12,TRUE,FALSE,0,FALSE,2011-07-16 09:28:12,0
2011-07-17 01:11:24,FALSE,FALSE,0,FALSE,2011-07-17 01:11:24,0
2011-07-17 09:30:12,TRUE,FALSE,0,FALSE,2011-07-17 09:30:12,0
2011-07-18 01:09:23,FALSE,FALSE,0,FALSE,2011-07-18 01:09:23,0
2011-07-18 09:30:11,TRUE,FALSE,0,FALSE,2011-07-18 09:30:11,0
2011-07-19 01:05:23,FALSE,FALSE,0,FALSE,2011-07-19 01:05:23,0
2011-07-19 09:36:11,TRUE,FALSE,0,FALSE,2011-07-19 09:36:11,0
2011-07-20 01:07:23,FALSE,FALSE,0,FALSE,2011-07-20 01:07:23,0
2011-07-20 09:34:10,TRUE,FALSE,0,FALSE,2011-07-20 09:34:10,0
2011-07-21 01:05:34,FALSE,FALSE,0,FALSE,2011-07-21 01:05:34,0
2011-07-21 09:36:10,TRUE,FALSE,0,FALSE,2011-07-21 09:36:10,0
2011-07-22 01:07:22,FALSE,FALSE,0,FALSE,2011-07-22 01:07:22,0
2011-07-22 09:35:58,TRUE,FALSE,0,FALSE,2011-07-22 09:35:58,0
2011-07-23 01:01:21,FALSE,FALSE,0,FALSE,2011-07-23 01:01:21,0
2011-07-23 09:37:57,TRUE,FALSE,0,FALSE,2011-07-23 09:37:57,0
2011-07-24 01:01:21,FALSE,FALSE,0,FALSE,2011-07-24 01:01:21,0
2011-07-24 09:41:57,TRUE,FALSE,0,FALSE,2011-07-24 09:41:57,0
2011-07-25 01:01:21,FALSE,FALSE,0,FALSE,2011-07-25 01:01:21,0
2011-07-25 09:40:09,TRUE,FALSE,0,FALSE,2011-07-25 09:40:09,0
2011-07-26 01:01:20,FALSE,FALSE,0,FALSE,2011-07-26 01:01:20,0
2011-07-26 09:40:08,TRUE,FALSE,0,FALSE,2011-07-26 09:40:08,0
2011-07-27 01:01:20,FALSE,FALSE,0,FALSE,2011-07-27 01:01:20,0
2011-07-27 09:38:08,TRUE,FALSE,0,FALSE,2011-07-27 09:38:08,0
2011-07-28 00:59:20,FALSE,FALSE,0,FALSE,2011-07-28 00:59:20,0
2011-07-28 09:41:55,TRUE,FALSE,0,FALSE,2011-07-28 09:41:55,0
2011-07-29 00:59:19,FALSE,FALSE,0,FALSE,2011-07-29 00:59:19,0
2011-07-29 09:41:55,TRUE,FALSE,0,FALSE,2011-07-29 09:41:55,0
2011-07-30 00:51:31,FALSE,FALSE,0,FALSE,2011-07-30 00:51:31,0
2011-07-30 09:45:55,TRUE,FALSE,0,FALSE,2011-07-30 09:45:55,0
2011-07-31 00:59:18,FALSE,FALSE,0,FALSE,2011-07-31 00:59:18,0
2011-07-31 09:43:54,TRUE,FALSE,0,FALSE,2011-07-31 09:43:54,0
2011-08-01 00:57:30,FALSE,FALSE,0,FALSE,2011-08-01 00:57:30,0
2011-08-01 09:46:06,TRUE,FALSE,0,FALSE,2011-08-01 09:46:06,0
2011-08-02 00:33:18,FALSE,FALSE,0,FALSE,2011-08-02 00:33:18,0
2011-08-02 09:42:06,TRUE,FALSE,0,FALSE,2011-08-02 09:42:06,0
2011-08-03 00:39:17,FALSE,FALSE,0,FALSE,2011-08-03 00:39:17,0
2011-08-03 09:50:05,TRUE,FALSE,0,FALSE,2011-08-03 09:50:05,0
2011-08-04 00:33:17,FALSE,FALSE,0,FALSE,2011-08-04 00:33:17,0
2011-08-04 09:47:53,TRUE,FALSE,0,FALSE,2011-08-04 09:47:53,0
2011-08-05 00:39:17,FALSE,FALSE,0,FALSE,2011-08-05 00:39:17,0
2011-08-05 09:46:04,TRUE,FALSE,0,FALSE,2011-08-05 09:46:04,0
2011-08-06 00:37:16,FALSE,FALSE,0,FALSE,2011-08-06 00:37:16,0
2011-08-06 09:52:04,TRUE,FALSE,0,FALSE,2011-08-06 09:52:04,0
2011-08-07 00:33:16,FALSE,FALSE,0,FALSE,2011-08-07 00:33:16,0
2011-08-07 09:52:04,TRUE,FALSE,0,FALSE,2011-08-07 09:52:04,0
2011-08-08 00:35:15,FALSE,FALSE,0,FALSE,2011-08-08 00:35:15,0
2011-08-08 09:52:03,TRUE,FALSE,0,FALSE,2011-08-08 09:52:03,0
2011-08-09 00:33:15,FALSE,FALSE,0,FALSE,2011-08-09 00:33:15,0
2011-08-09 09:51:51,TRUE,FALSE,0,FALSE,2011-08-09 09:51:51,0
2011-08-10 00:35:15,FALSE,FALSE,0,FALSE,2011-08-10 00:35:15,0
2011-08-10 09:55:51,TRUE,FALSE,0,FALSE,2011-08-10 09:55:51,0
2011-08-11 00:31:30,FALSE,FALSE,0,FALSE,2011-08-11 00:31:30,0
2011-08-11 09:52:02,TRUE,FALSE,0,FALSE,2011-08-11 09:52:02,0
2011-08-12 00:29:30,FALSE,FALSE,0,FALSE,2011-08-12 00:29:30,0
2011-08-12 09:58:02,TRUE,FALSE,0,FALSE,2011-08-12 09:58:02,0
2011-08-13 00:31:14,FALSE,FALSE,0,FALSE,2011-08-13 00:31:14,0
2011-08-13 09:57:49,TRUE,FALSE,0,FALSE,2011-08-13 09:57:49,0
2011-08-14 00:23:25,FALSE,FALSE,0,FALSE,2011-08-14 00:23:25,0
2011-08-14 10:02:01,TRUE,FALSE,0,FALSE,2011-08-14 10:02:01,0
2011-08-15 00:23:25,FALSE,FALSE,0,FALSE,2011-08-15 00:23:25,0
2011-08-15 09:58:01,TRUE,FALSE,0,FALSE,2011-08-15 09:58:01,0
2011-08-16 00:25:24,FALSE,FALSE,0,FALSE,2011-08-16 00:25:24,0
2011-08-16 09:57:48,TRUE,FALSE,0,FALSE,2011-08-16 09:57:48,0
2011-08-17 00:27:12,FALSE,FALSE,0,FALSE,2011-08-17 00:27:12,0
2011-08-17 09:58:00,TRUE,FALSE,0,FALSE,2011-08-17 09:58:00,0
2011-08-18 00:27:12,FALSE,FALSE,0,FALSE,2011-08-18 00:27:12,0
2011-08-18 09:57:48,TRUE,FALSE,0,FALSE,2011-08-18 09:57:48,0
2011-08-19 00:23:11,FALSE,FALSE,0,FALSE,2011-08-19 00:23:11,0
2011-08-19 10:01:47,TRUE,FALSE,0,FALSE,2011-08-19 10:01:47,0
2011-08-20 00:15:19,FALSE,FALSE,0,FALSE,2011-08-20 03:13:30,0
2011-08-20 10:03:47,TRUE,FALSE,0,FALSE,2011-08-20 10:03:47,0
2011-08-21 00:19:23,FALSE,FALSE,0,FALSE,2011-08-21 00:19:23,0
2011-08-21 10:03:58,TRUE,FALSE,0,FALSE,2011-08-21 10:03:58,0
2011-08-22 00:07:22,FALSE,FALSE,0,FALSE,2011-08-22 00:07:22,0
2011-08-22 10:09:46,TRUE,FALSE,0,FALSE,2011-08-22 10:09:46,0
2011-08-23 00:19:10,FALSE,FALSE,0,FALSE,2011-08-23 00:19:10,0
2011-08-23 10:09:58,TRUE,FALSE,0,FALSE,2011-08-23 10:09:58,0
2011-08-24 00:11:21,FALSE,FALSE,0,FALSE,2011-08-24 00:11:21,0
2011-08-24 10:05:37,TRUE,FALSE,0,FALSE,2011-08-24 10:05:37,0
2011-08-25 00:15:21,FALSE,FALSE,0,FALSE,2011-08-25 00:15:21,0
